"TEMA","SUBTEMA","VARIABLE","CLASE","Fuente","AÑO","Mes","Valor"
"Tasa de ocupación Hotelera","Total anual","Porcentaje","","Asociación Hotelera y Tuística de Colombia- COTELCO, Sistema de Información Turística- SIH","2010","","61.1%"
"Generación de empleo turismo","Empleo Turismo Bogotá","Total","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2010","","222977"
"Generación de empleo turismo","Sectores directos","Agencias de viaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2010","","10367.5"
"Generación de empleo turismo","Sectores directos","Alojamiento y hospedaje","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2010","","10512.416666667"
"Generación de empleo turismo","Sectores conexos","Alimentos y bebidas","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2010","","119400.08333333"
"Generación de empleo turismo","Sectores conexos","Esparcimiento","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2010","","1106.3333333333"
"Generación de empleo turismo","Sectores conexos","Transporte aéreo","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2010","","7996.75"
"Generación de empleo turismo","Sectores conexos","Transporte terrestre","","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020","2010","","73593.916666667"
"Generación de empleo turismo","Participación % ","Porcentaje","Empleo Turismo/ Turismo Bogota","Departamento Administrativo Nacional de Estadística- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020","2010","","6.1%"
"Conectividad directa internacional","Ciudades","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2010","","31"
"Conectividad directa internacional","Aerolíneas","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2010","","28"
"Conectividad directa internacional","Vuelos","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2010","","2142"
"Conectividad directa internacional","Sillas","Promedio mensual","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2010","","270744"
"Conectividad directa internacional","Pasajeros","Total","","Aeronáutica civil, Base de datos Tráfico por Equipo. Corte marzo 2020","2010","","2464264"
"Índice de Presión Turística","índice","índice","índice","Observatorio de Turismo","2010","","1.1"
"PIB","Participación % ","Porcentaje","Sector: Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; Transporte y almacenamiento; Alojamiento y servicios de comida/ PIB Bogotá","Departamento Administrativo Nacional de Estadística- DANE, Cuentas Nacionales","2010","","18.2%"
"Tasa de ocupación Hotelera","Total anual","Porcentaje","","Asociación Hotelera y Tuística de Colombia- COTELCO, Sistema de Información Turística- SIH","2011","","62.8%"
